Arm,Reward,Regret,Algorithm
3,5.420636767520458,0,Epsilon-Greedy
3,2.735841002218622,0,Epsilon-Greedy
3,3.9039576036896793,0,Epsilon-Greedy
3,4.23468172394383,0,Epsilon-Greedy
3,4.610963765269235,0,Epsilon-Greedy
3,2.9901919314217444,0,Epsilon-Greedy
3,4.664765350470923,0,Epsilon-Greedy
3,5.883887925641934,0,Epsilon-Greedy
3,4.015016002815508,0,Epsilon-Greedy
3,3.021845876766701,0,Epsilon-Greedy
3,2.15973097628659,0,Epsilon-Greedy
3,5.866973480003628,0,Epsilon-Greedy
3,4.181568121336605,0,Epsilon-Greedy
3,3.15721111381906,0,Epsilon-Greedy
3,4.8500896354097724,0,Epsilon-Greedy
3,4.50113166061637,0,Epsilon-Greedy
3,3.1442773614317123,0,Epsilon-Greedy
3,6.530129756467112,0,Epsilon-Greedy
3,3.976398945725871,0,Epsilon-Greedy
3,1.9900364107467645,0,Epsilon-Greedy
3,3.7957491067948537,0,Epsilon-Greedy
3,3.0907845429842897,0,Epsilon-Greedy
3,3.7562484276422934,0,Epsilon-Greedy
3,2.791768340395886,0,Epsilon-Greedy
3,5.411231129823191,0,Epsilon-Greedy
3,4.766618787110876,0,Epsilon-Greedy
3,4.563615224560669,0,Epsilon-Greedy
3,3.7225807555884463,0,Epsilon-Greedy
3,3.3277424547312426,0,Epsilon-Greedy
3,5.60788854641311,0,Epsilon-Greedy
3,3.3351719205357258,0,Epsilon-Greedy
3,3.3696364441988136,0,Epsilon-Greedy
3,1.931427029036874,0,Epsilon-Greedy
3,5.172376413755789,0,Epsilon-Greedy
3,4.759646918782551,0,Epsilon-Greedy
3,3.2249393736308223,0,Epsilon-Greedy
3,4.776705391459213,0,Epsilon-Greedy
3,4.258335479085621,0,Epsilon-Greedy
3,2.3786923925432726,0,Epsilon-Greedy
3,4.47463048531015,0,Epsilon-Greedy
3,2.670444090836717,0,Epsilon-Greedy
3,5.686263268873452,0,Epsilon-Greedy
3,4.31809600772256,0,Epsilon-Greedy
3,3.039042032877505,0,Epsilon-Greedy
3,6.125137116854523,0,Epsilon-Greedy
3,3.2389948645530384,0,Epsilon-Greedy
3,3.0703079139019547,0,Epsilon-Greedy
3,4.495990226693249,0,Epsilon-Greedy
3,5.202407029683746,0,Epsilon-Greedy
3,2.7989324673984486,0,Epsilon-Greedy
3,4.3125970650987115,0,Epsilon-Greedy
3,1.5895627783516937,0,Epsilon-Greedy
3,2.96567111434893,0,Epsilon-Greedy
3,3.5983275239415318,0,Epsilon-Greedy
3,5.212085012142366,0,Epsilon-Greedy
3,4.813149320788019,0,Epsilon-Greedy
3,6.1968691244243805,0,Epsilon-Greedy
3,4.400890623213167,0,Epsilon-Greedy
3,2.7928459812553674,0,Epsilon-Greedy
3,4.793908532254439,0,Epsilon-Greedy
3,6.879771503825539,0,Epsilon-Greedy
3,2.9218861570867714,0,Epsilon-Greedy
3,3.9779328527657274,0,Epsilon-Greedy
3,5.002083109949673,0,Epsilon-Greedy
3,3.503447750450561,0,Epsilon-Greedy
3,2.8118606296053223,0,Epsilon-Greedy
3,3.89065007799525,0,Epsilon-Greedy
3,4.396589563886971,0,Epsilon-Greedy
3,1.8587256854134249,0,Epsilon-Greedy
3,2.5327644885147027,0,Epsilon-Greedy
3,5.3393559612236725,0,Epsilon-Greedy
3,4.4246212312451645,0,Epsilon-Greedy
3,3.3100655161907024,0,Epsilon-Greedy
3,2.513911398601889,0,Epsilon-Greedy
3,5.484919970236168,0,Epsilon-Greedy
